"variable","tipo_R","n_na_real","n_na_texto","n_blancos","n_con_espacios","n_presentes","n_no_numericos","n_notacion_cientifica","n_con_decimales","n_valores_unicos","minimo","maximo","ejemplo_no_numerico","ejemplo_cientifica"
"iees","character",0,31901,0,0,276,0,85,0,77,20000,3e+06,"","5e+05"
"imdies","character",0,32141,0,0,36,0,19,0,25,30000,2e+06,"","2e+06"
"iof1es","character",0,31923,0,0,254,0,48,0,71,83,8333333,"","2e+05"
"iof2es","character",0,31890,0,0,287,0,81,0,109,706000,13200000,"","3e+06"
"iof3hes","character",0,31851,0,0,326,0,161,0,78,8333,9600000,"","1e+05"
"iof3ies","character",0,32145,0,0,32,0,0,0,21,12500,516667,"",""
"iof6es","character",0,31998,0,0,179,0,113,0,48,50000,8e+06,"","5e+05"
"ingtotob","character",0,4888,0,0,27289,0,4799,4407,4676,0,85833333.3333333,"","7e+05"
"ingtotes","character",0,29497,0,0,2680,0,928,0,785,83,5e+07,"","5e+05"
"ingtot","character",0,4888,0,0,27289,0,5246,4407,5355,0,85833333.3333333,"","1e+06"
"fex_c","character",0,0,0,0,32177,0,0,32177,3536,106.612617426093,808.241451693803,"",""
"depto","character",0,0,0,0,32177,0,0,0,1,11,11,"",""
"fex_dpto","character",0,0,0,0,32177,0,0,32177,3536,106.612617426093,808.241451693803,"",""
"fweight","character",0,0,0,0,32177,0,0,0,409,107,808,"",""
"maxEducLevel","character",0,3569,0,0,28608,0,0,0,7,1,7,"",""
"college","character",0,0,0,0,32177,0,0,0,2,0,1,"",""
"regSalud","character",0,7507,0,0,24670,0,0,0,3,1,3,"",""
"cotPension","character",0,15514,0,0,16663,0,0,0,3,1,3,"",""
"wap","character",0,0,0,0,32177,0,0,0,2,0,1,"",""
"ocu","character",0,0,0,0,32177,0,0,0,2,0,1,"",""
"dsi","character",0,0,0,0,32177,0,0,0,2,0,1,"",""
"pea","character",0,0,0,0,32177,0,0,0,2,0,1,"",""
"inac","character",0,0,0,0,32177,0,0,0,2,0,1,"",""
"totalHoursWorked","character",0,15495,0,0,16682,0,0,0,112,1,130,"",""
"formal","character",0,15495,0,0,16682,0,0,0,2,0,1,"",""
"informal","character",0,15495,0,0,16682,0,0,0,2,0,1,"",""
"cuentaPropia","character",0,0,0,0,32177,0,0,0,2,0,1,"",""
