id_persona,log_y,pred_loo,pred_cv5
4514401-1-1,13.527828485512494,13.555156445142215,13.595627172553298
4514402-1-2,11.107460317799564,13.666566229287152,13.707179148431155
4514402-1-1,13.652823379019235,13.88973820313669,13.889557851719221
4514403-1-1,13.511315561204944,13.595664229852613,13.595950272662492
4514404-1-3,11.695247021764184,12.462418419025262,12.474312528245873
4514404-1-2,14.286763406610442,14.41699994961951,14.38931998027822
4514404-1-1,13.567049198665774,13.68614816407421,13.683389682072884
4514405-1-1,14.978661367769956,13.890012503098813,13.878853234996301
4514406-1-2,12.611537753638338,12.275591614146409,12.207113822312285
4514406-1-1,13.458835614025542,12.782794140572975,12.79788796866716
4514409-1-1,13.592367006650065,13.23816250156739,13.23182989211487
4514409-1-2,13.592367006650065,13.414445381729884,13.428222471853886
4514410-1-2,14.979182091544796,14.2850125459343,14.26565619521968
4514411-1-3,13.550090422826504,13.916291071410429,13.913863595690325
4514411-1-4,13.511315561204944,13.993013070818593,13.98846804168396
4514411-1-1,13.550090422826504,14.162268237775676,14.13566830574121
4514411-1-2,13.591075000494447,13.961270164445379,13.987874346392875
4514412-1-1,14.24824925402165,14.322108414707014,14.334713683545177
4514412-1-2,13.698096579198015,13.951216399034141,13.939253719444467
4514413-1-3,13.872174405081816,14.277605423608257,14.282532751962654
4514413-1-2,12.676076274775909,13.120069780960701,13.089744135755382
4514414-1-1,14.50865773852422,13.712629858251452,13.673112067240869
4514415-1-3,14.346138809026444,13.666682692289557,13.674334335932308
4514415-1-2,13.965917058520915,14.11685738520049,14.001182169771102
4514415-1-1,12.793859310432293,13.391116414581816,13.468306716131778
4514416-1-2,13.567049198665774,13.826567499750642,13.838178351049647
4514416-1-3,13.304684934198283,12.392424898392274,12.373483648659205
4514416-1-5,13.511315561204944,13.751527316781557,13.737119174985908
4514418-1-1,13.592367006650065,13.080169411325445,13.07050260254948
4514419-1-3,13.511315561204944,13.398089711701472,13.41447130691673
4514420-1-2,14.058305058405445,13.842286218016692,13.837424149488486
4514421-1-2,14.662808382637191,14.605266131370643,14.56910058433278
4514422-1-1,14.77102200299171,14.071211071474881,14.066137345097891
4514423-1-1,13.122363377404328,12.28037865997987,12.273871042449562
4514423-1-3,13.764217263576723,13.748053018105715,13.756331763509786
4514424-1-1,14.588700484659292,14.740677703887952,14.75654532150223
4514428-1-2,14.285393320530927,14.588938838316817,14.598711408213248
4514428-1-1,13.713632859141546,14.010746795162008,14.035532128170557
4514429-1-1,13.997832114758229,13.52514293696121,13.540036819444516
4514430-1-1,15.319587954740548,14.94760035624415,14.861267335056388
4514430-1-2,15.30639013427424,14.859440009957524,14.867583265284114
4514431-1-1,13.969495545493894,14.14320586825203,14.143195028783746
4514431-1-2,13.6903253105993,13.781075346533745,13.789100423119159
4514433-1-2,12.611537753638338,12.964561160430694,12.93699219103901
4514433-1-1,14.209672019901046,14.100683684503254,14.083117175985112
4514434-1-1,14.08156540768255,14.001290599802214,13.979509217052346
