female,age,media,sd,ee,n,poblacion,n_efectivo,IC_inf,IC_sup
0,59,13.956847571324332,0.8619754564766497,0.08787822304538015,99,24367.81358205633,95.26552666570663,13.784606254155387,14.129088888493277
0,60,13.941497179674286,0.955889149485689,0.09456674222963211,103,24824.30837275382,100.72585213430405,13.756146364904208,14.126847994444365
0,61,14.07228142863482,0.9577460290526157,0.09835683855742892,104,25513.31482816702,100.9208187290828,13.87950202506226,14.26506083220738
0,62,13.860435165590507,1.1739032368337925,0.13547002226465824,74,18155.73359786215,69.71031526415945,13.594913921951777,14.125956409229238
0,63,13.785236049280716,1.03592240060683,0.1358235407100112,62,14865.333003540516,60.300987771065095,13.519021909489094,14.051450189072337
0,64,13.666315359506786,1.0071207438255045,0.14719591064011264,50,12112.226883033045,48.151456858281975,13.377811374652165,13.954819344361407
0,65,13.588748240145465,1.0633971047737647,0.15593246056194754,48,11886.876709954766,46.687872354328626,13.283120617444048,13.894375862846882
0,66,13.602176100369347,0.823251118177464,0.13664670602984952,37,9034.35691243207,36.1212136727401,13.334348556550841,13.870003644187852
0,67,13.572750032097025,1.2461688098336368,0.22116394488118818,32,8298.224052344049,30.062768022847564,13.139268700129897,14.006231364064153
0,68,13.626581386991589,1.1258231245393358,0.22614802068690582,27,6466.841912668606,26.056504457524913,13.183331266445254,14.069831507537923
0,69,13.84963933534584,0.7095200144240935,0.18671520522163232,15,3610.0388514912047,14.484516498566576,13.48367753311144,14.21560113758024
0,70,13.303901906262722,1.452474210615892,0.3703765530438393,21,5144.036488101374,20.011104888658203,12.577963862296796,14.029839950228647
0,71,12.978988983159221,0.7991034364755689,0.20301148945068265,16,4267.021610526688,14.932733756664637,12.581086463835883,13.37689150248256
0,72,13.285294776699581,1.1798708303667116,0.25727323804560664,20,4949.090666608439,19.766879795895747,12.781039230130192,13.789550323268971
1,18,12.970145659070672,1.005188225256334,0.13754547850253518,54,12471.418070335927,51.05527697310295,12.700556521205703,13.239734796935641
1,19,13.174590397777067,0.9263466640664723,0.09504319784863755,106,24923.355867245336,98.62598078745742,12.988305729993737,13.360875065560396
1,20,13.4519505256391,0.5783241288870525,0.04957975519416468,147,33079.394403985854,137.06219344705022,13.354774205458538,13.549126845819663
1,21,13.521850420967924,0.6832657693215064,0.06145970644367062,137,30888.824606634655,131.14234112017783,13.40138939633833,13.64231144559752
1,22,13.62231413913508,0.7126552977456875,0.06220629190714226,148,36474.81126922598,134.10705448884843,13.500389806997081,13.744238471273079
1,23,13.705965802667297,0.6010112470847494,0.04213837198416242,197,46944.716945447035,184.6421897200446,13.623374593578339,13.788557011756255
1,24,13.742446034756796,0.7371896469927368,0.05269042858032365,210,51328.55562166733,193.10064681865046,13.63917279473936,13.84571927477423
1,25,13.81594735922589,0.6937126823466273,0.049479943822000653,211,53299.56121852746,199.74654647559137,13.718966669334769,13.91292804911701
1,26,13.805739590782462,0.8719642099702059,0.06090877178439928,208,53927.61656863753,194.64989725154655,13.686358398085039,13.925120783479885
1,27,13.834048786810918,0.790135097727923,0.05545899347250002,212,54768.41607712771,198.83415956406517,13.725349159604818,13.942748414017018
1,28,13.856966533656111,0.853409080748058,0.06155004840499065,210,54223.91553336747,200.4377840501288,13.73632843878233,13.977604628529892
1,29,13.855175187199027,0.8452218909167291,0.05817835014891146,218,56832.24573940559,208.64274337793861,13.74114562090716,13.969204753490894
1,30,14.031278086741532,0.9316369859699991,0.0737227922446556,174,45832.538110794565,163.20162907065637,13.886781413942007,14.175774759541056
1,31,13.924604125270907,0.8934938028110436,0.0685279299733348,170,44788.18283501113,162.04271730865923,13.79028938252317,14.058918868018644
1,32,13.9519324937315,0.8814453178966154,0.06345268013818928,200,53836.44880040647,189.53886216098394,13.827565240660649,14.07629974680235
1,33,13.948353026158632,0.9284602432553762,0.06777144085051107,201,52323.822503981784,190.59597673779356,13.81552100209163,14.081185050225633
1,34,14.017511123371595,0.8130521606197566,0.05941245493059365,190,50426.8256080232,178.05480878363093,13.901062711707631,14.133959535035558
1,35,13.89584132382962,0.7429851587521656,0.05761933325273607,195,51070.220058706705,184.46903267825687,13.782907430654257,14.008775217004983
1,36,14.014538265293913,0.9959498448795869,0.07822570690662127,187,48065.20808406987,176.00337127913681,13.861215879756935,14.16786065083089
1,37,13.895214483264935,0.8580758030355445,0.06621324683617501,181,47774.923304011216,166.60738153046537,13.765436519466032,14.024992447063838
1,38,13.99322212219579,1.0126199422914415,0.07720017669602385,191,48747.31466409395,180.1935354327758,13.841909775871583,14.144534468519998
1,39,13.914409716052734,0.9022665105786687,0.07724946027872354,154,40051.667796250884,144.40635868050515,13.763000773906436,14.065818658199033
1,40,14.074421798345579,1.0501698410575102,0.0842439465455263,171,42330.21740494168,162.00235996408,13.909303663116347,14.239539933574811
1,41,14.028949857540606,0.9399933584802312,0.08086464815716957,160,40738.58374898668,150.4735791595364,13.870455147152555,14.187444567928658
1,42,13.803751996821452,1.014654509083209,0.08005738304316491,166,39930.28273828259,156.02204972215003,13.64683952605685,13.960664467586055
1,43,13.92551737819287,0.9956166872347822,0.08413128123260515,145,36257.832910091005,136.72228479585107,13.760620066976964,14.090414689408776
1,44,13.933115439482924,0.9389059224220815,0.0836851292031372,156,37928.43982121206,148.2139228217836,13.769092586244774,14.097138292721073
1,45,13.767684516586794,0.9492711943473037,0.08719030188250583,124,29683.52441567152,119.30799713455013,13.596791524897082,13.938577508276506
1,46,13.806473055119756,0.9092358778201004,0.08303859357371386,133,31879.16720490798,124.24015621492137,13.643717411715278,13.969228698524235
1,47,13.757171997286909,0.9430235621688262,0.08013251829280588,147,33964.824574182945,140.034802217827,13.60011226143301,13.914231733140808
1,48,13.656752380618679,0.8250364914186835,0.06844448437905426,145,33024.61865800644,138.85479059158402,13.522601191235733,13.790903570001625
1,49,13.738434337468329,0.9636840848048769,0.0823270525000325,140,32207.876536747317,136.37394564253736,13.577073314568265,13.899795360368392
1,50,13.873876250268129,0.9228457805986688,0.08169050134644165,128,29842.970306148876,123.50298146993127,13.713762867629104,14.033989632907154
1,51,13.652799419412318,1.2429569364348734,0.11473120992013103,122,27752.027459963658,117.05457847481169,13.42792624796886,13.877672590855775
1,52,13.664192292219221,1.0744445245769347,0.09954873255500675,121,28622.239286847496,117.08128573459983,13.469076776411407,13.859307808027035
1,53,13.710303374961551,1.0735564877900374,0.0937034856081895,146,34117.79885276343,140.19983232637838,13.5266445431695,13.893962206753603
1,54,13.575247348444188,1.2267986845595231,0.10575635999995069,131,29616.22726486603,125.6610407970429,13.367964882844285,13.782529814044091
1,55,13.456002581529317,1.0562765646636056,0.10130018496696591,112,26382.58342876355,106.91626431434493,13.257454218994063,13.654550944064571
1,56,13.464255585516867,1.0714396832976332,0.0971065924579385,124,29250.687849372476,120.02471610268171,13.273926664299307,13.654584506734427
1,57,13.453387970640716,1.0415961128483608,0.1032789209116449,104,25039.603826691586,97.30280923732639,13.250961285653892,13.65581465562754
1,58,13.463218589485628,1.313425538351989,0.14871425458914725,89,21958.37232882338,83.9237067683742,13.1717386504909,13.754698528480356
1,59,13.133383262648811,1.1011560711044188,0.13398041217512452,73,17416.590977276173,70.78404161499694,12.870781654785567,13.395984870512056
1,60,13.006808812696292,1.1271620567805387,0.1428128269071054,65,15183.33024459681,62.71582977088658,12.726895671958365,13.286721953434219
1,61,13.283858756101012,1.1667874506002163,0.14560865535347778,67,16435.372062063027,65.35273420834716,12.998465791608195,13.569251720593828
1,62,13.0666735001232,1.222915259842544,0.19590094831714647,41,10053.85855138552,39.48917669936303,12.682707641421592,13.450639358824807
1,63,13.240752078838609,1.1040948361289582,0.15694043237183822,48,12017.664966331915,44.74547457450727,12.933148831389806,13.548355326287412
1,64,12.983915050477554,1.2199747195082358,0.19591141661209258,40,9579.887010032511,38.831239494709834,12.599928673917853,13.367901427037255
1,65,12.984445497718562,0.8387286357688974,0.14904968796999923,35,8171.352046912377,34.077679932468584,12.692308109297365,13.27658288613976
1,66,12.708303121569976,1.1356140307815303,0.2082220200380015,30,7095.3376850541545,29.057925205747644,12.300187962295492,13.11641828084446
1,67,13.046090926850221,1.0860856255166138,0.23412115041931317,21,5677.948550525934,19.272439225355598,12.587213472028367,13.504968381672075
1,68,12.993600901312831,1.1855599338873886,0.3054270081076662,16,3748.246599419665,15.862130633284446,12.394963965421805,13.592237837203857
1,69,12.929415673892876,0.6552488918669407,0.17353354020923925,16,3957.0291723204055,15.833566811620141,12.589289935082768,13.269541412702985
