modelo,sexo,edad,prediccion,IC_inf,IC_sup
S1,Hombres,63.0,13.79893124457789,13.73765975331798,13.8602027358378
S1,Hombres,64.0,13.757479400026682,13.691128823527837,13.823829976525527
S1,Hombres,65.0,13.713951549766364,13.642204043042868,13.78569905648986
S1,Hombres,66.0,13.668347693796937,13.590894958319854,13.74580042927402
S1,Hombres,67.0,13.620667832118396,13.537209832847367,13.704125831389426
S1,Hombres,68.0,13.57091196473075,13.481155774271643,13.660668155189855
S1,Hombres,69.0,13.519080091633992,13.42273887547603,13.615421307791953
S1,Hombres,70.0,13.465172212828122,13.361964352776102,13.568380072880142
S1,Hombres,71.0,13.409188328313144,13.298836672896405,13.519539983729883
S1,Hombres,72.0,13.351128438089056,13.233359665392214,13.468897210785897
S1,Hombres,73.0,13.290992542155855,13.16553661994658,13.41644846436513
S1,Hombres,74.0,13.228780640513548,13.095370369387014,13.362190911640083
S1,Hombres,75.0,13.16449273316213,13.022863359894707,13.306122106429552
S1,Mujeres,18.0,13.458544728219783,13.396921444431133,13.520168012008433
S1,Mujeres,19.0,13.506322841811068,13.450520525273145,13.56212515834899
S1,Mujeres,20.0,13.551616496043895,13.501220433867122,13.602012558220668
S1,Mujeres,21.0,13.594425690918262,13.548993228180176,13.639858153656348
S1,Mujeres,22.0,13.634750426434174,13.593804669973398,13.67569618289495
S1,Mujeres,23.0,13.672590702591624,13.635614285304328,13.709567119878919
S1,Mujeres,24.0,13.707946519390616,13.674377228715667,13.741515810065565
S1,Mujeres,25.0,13.74081787683115,13.710049362401751,13.771586391260549
S1,Mujeres,26.0,13.771204774913222,13.742596685138952,13.799812864687492
S1,Mujeres,27.0,13.799107213636837,13.772008325097673,13.826206102176002
S1,Mujeres,28.0,13.824525193001993,13.79830869723705,13.850741688766934
S1,Mujeres,29.0,13.84745871300869,13.821561926892056,13.873355499125324
S1,Mujeres,30.0,13.867907773656933,13.841864420723201,13.893951126590665
S1,Mujeres,31.0,13.885872374946711,13.859328706198372,13.91241604369505
S1,Mujeres,32.0,13.901352516878031,13.87406641687092,13.928638616885143
S1,Mujeres,33.0,13.914348199450895,13.886176545675797,13.942519853225994
S1,Mujeres,34.0,13.9248594226653,13.895740292812746,13.953978552517853
S1,Mujeres,35.0,13.932886186521245,13.902820676921134,13.962951696121355
S1,Mujeres,36.0,13.938428491018731,13.907464512741653,13.96939246929581
S1,Mujeres,37.0,13.941486336157757,13.909705065199045,13.973267607116469
S1,Mujeres,38.0,13.942059721938328,13.90956451389101,13.974554929985647
S1,Mujeres,39.0,13.940148648360438,13.907055903144679,13.973241393576197
S1,Mujeres,40.0,13.935753115424086,13.902184522654991,13.969321708193181
S1,Mujeres,41.0,13.92887312312928,13.894948769993078,13.962797476265482
S1,Mujeres,42.0,13.919508671476015,13.885340575446467,13.953676767505563
S1,Mujeres,43.0,13.90765976046429,13.873345471957007,13.941974048971572
S1,Mujeres,44.0,13.893326390094106,13.858942394449521,13.927710385738692
S1,Mujeres,45.0,13.876508560365464,13.842103307429076,13.910913813301852
S1,Mujeres,46.0,13.857206271278361,13.822792795064618,13.891619747492104
S1,Mujeres,47.0,13.835419522832801,13.800967805869082,13.86987123979652
S1,Mujeres,48.0,13.811148315028783,13.776577815074377,13.845718814983188
