age,media,sd,ee,n,poblacion,n_efectivo,IC_inf,IC_sup
53,13.828739422038105,0.938557458030563,0.060917715384447846,266,62162.0235589813,254.5303254816339,13.709340699884587,13.948138144191622
54,13.818395242150201,1.1993106078290738,0.0735605174008301,269,63926.057973987496,253.82353534357546,13.674216628044574,13.962573856255828
55,13.770246819980402,1.0377053275188985,0.06945950050120084,239,56711.9405238054,227.6170308506966,13.63410619899805,13.906387440962755
56,13.860381414590758,1.0864830365028357,0.07330771841826951,244,59559.46975974854,232.8764895298499,13.716698286490951,14.004064542690566
57,13.695747880767899,0.967043402995474,0.06901257383509328,199,48047.679985402545,189.58128540105298,13.560483236051116,13.831012525484681
58,13.783672017840217,1.1266990708859415,0.08159885906475826,210,51915.735584299204,196.8969368690756,13.623738254073292,13.943605781607143
59,13.613610873330423,1.050499174805394,0.0815947584960771,172,41784.4045593325,165.988800958715,13.453685146678112,13.773536599982734
60,13.586772865966475,1.120200682212159,0.08731753962452932,168,40007.63861735063,163.42943786235543,13.415630488302398,13.757915243630553
61,13.763379745986988,1.1132858761796076,0.08846560270205918,171,41948.68689023004,166.27247014255158,13.589987164690951,13.936772327283025
62,13.577539636087671,1.2507748552018707,0.11619812934411354,115,28209.592149247663,109.1865765647164,13.349791302573209,13.805287969602134
63,13.541832172092448,1.100744035632967,0.10592668524045518,110,26882.99796987242,104.85596011451725,13.334215869021156,13.74944847516374
64,13.364946950308031,1.1569252925006557,0.12400236355107236,90,21692.11389306556,86.9746047824255,13.12190231774793,13.607991582868133
65,13.342566460530739,1.0221950424369313,0.11404580615729298,83,20058.22875686714,80.69549364959153,13.119036680462445,13.566096240599032
66,13.208967748295821,1.069470976546559,0.13074160124304546,67,16129.694597486223,65.16988360082367,12.952714209859453,13.46522128673219
67,13.358789930985845,1.211677774267736,0.1624389271245379,53,13976.172602869981,49.28471478247969,13.040409633821751,13.677170228149938
68,13.394320359577407,1.1879449812774383,0.1847980573705779,43,10215.08851208827,41.895200159307564,13.032116167131074,13.75652455202374
69,13.368428929681388,0.8221583984410343,0.15388786209724328,31,7567.068023811612,30.318027224909013,13.06680871997079,13.670049139391985
70,12.99568998849294,1.5788606021763634,0.2882670855703972,35,8356.54388350103,33.830659586868435,12.43068650077496,13.560693476210918
71,12.981151656955277,0.7341676777333742,0.14731440181604527,26,6608.302055191115,24.63226411410717,12.692415429395828,13.269887884514725
72,13.069080602450605,1.0737348939869404,0.18200001295326065,34,8037.530752952395,33.4581187727089,12.712360577062213,13.425800627838996
73,13.240184273618295,1.0010171264887522,0.22428403928455085,21,5087.334112295568,20.648349706690144,12.800587556620576,13.679780990616015
