variable,tipo,filas,no_nulos,porcentaje_no_nulos,valores_distintos,media,desv_est,minimo,p25,mediana,p75,maximo,moda
hoursWorkUsual,float64,32177,16682,51.844485191285706,107,46.848579307037525,15.68417216429361,1.0,40.0,48.0,50.0,130.0,48.0
p6870,float64,32177,16682,51.844485191285706,9,4.9119410142668745,3.3356273425843734,1.0,2.0,4.0,9.0,9.0,9.0
p6920,float64,32177,16663,51.78543680268515,3,1.4585608833943469,0.5421351052378738,1.0,1.0,1.0,2.0,3.0,1.0
p7040,float64,32177,16682,51.844485191285706,2,1.963313751348759,0.1879959744548079,1.0,2.0,2.0,2.0,2.0,2.0
hoursWorkActualSecondJob,float64,32177,565,1.755912608384871,33,11.608849557522124,8.90060916635999,1.0,5.0,9.0,15.0,50.0,8.0
p7050,float64,32177,612,1.9019796749230817,9,3.6323529411764706,1.3085889076552923,1.0,4.0,4.0,4.0,9.0,4.0
p7070,float64,32177,16650,51.74503527364266,90,19070.224744744744,218026.7839616195,0.0,0.0,0.0,0.0,10000000.0,0.0
p7090,float64,32177,16682,51.844485191285706,2,1.9028293969548016,0.2961988118388528,1.0,2.0,2.0,2.0,2.0,2.0
p7110,float64,32177,1621,5.03775989060509,2,1.5225169648365207,0.49964686960970955,1.0,1.0,2.0,2.0,2.0,2.0
p7120,float64,32177,1621,5.03775989060509,2,1.0610734114743985,0.23953882164810894,1.0,1.0,1.0,1.0,2.0,1.0
p7140s1,float64,32177,3465,10.768561394785095,2,1.1197691197691197,0.3247382207823683,1.0,1.0,1.0,1.0,2.0,1.0
p7140s2,float64,32177,3465,10.768561394785095,2,1.0216450216450217,0.14554252985145277,1.0,1.0,1.0,1.0,2.0,1.0
p7150,float64,32177,3465,10.768561394785095,2,1.6193362193362193,0.48562014628058603,1.0,1.0,2.0,2.0,2.0,2.0
p7160,float64,32177,3465,10.768561394785095,3,1.1875901875901875,0.7882044629557228,1.0,1.0,1.0,1.0,9.0,1.0
p7310,float64,32177,1975,6.137924604531187,2,1.9048101265822786,0.2935513464589049,1.0,2.0,2.0,2.0,2.0,2.0
p7350,float64,32177,1787,5.553656338378345,9,1.6961387800783436,1.329736428173372,1.0,1.0,1.0,1.0,9.0,1.0
p7422,float64,32177,1787,5.553656338378345,2,1.8399552322327923,0.366750199837643,1.0,2.0,2.0,2.0,2.0,2.0
p7422s1,float64,32177,1787,5.553656338378345,93,139407.38947957472,657323.6267106842,0.0,0.0,0.0,0.0,14000000.0,0.0
p7472,float64,32177,8632,26.826615284209215,2,1.9838971269694161,0.12587853736628882,1.0,2.0,2.0,2.0,2.0,2.0
p7472s1,float64,32177,8632,26.826615284209215,52,9034.172150139018,113430.26088268941,0.0,0.0,0.0,0.0,5000000.0,0.0
p7495,float64,32177,27289,84.8090250800261,2,1.8584777749276264,0.3485658290167146,1.0,2.0,2.0,2.0,2.0,2.0
p7500s1,float64,32177,3862,12.002361935544021,3,1.4917141377524599,0.514295723561633,1.0,1.0,1.0,2.0,9.0,1.0
p7500s1a1,float64,32177,27289,84.8090250800261,138,63533.01671002968,405389.8198296994,0.0,0.0,0.0,0.0,20000000.0,0.0
p7500s2,float64,32177,3862,12.002361935544021,3,1.4821336095287416,0.5140520148636343,1.0,1.0,1.0,2.0,9.0,1.0
p7500s2a1,float64,32177,27289,84.8090250800261,267,103881.41602843636,768754.3981079629,0.0,0.0,0.0,0.0,80000000.0,0.0
p7500s3,float64,32177,3862,12.002361935544021,3,1.9109269808389435,0.30929604903534164,1.0,2.0,2.0,2.0,9.0,2.0
p7500s3a1,float64,32177,27289,84.8090250800261,66,5548.334200593646,103469.53377733086,0.0,0.0,0.0,0.0,7200000.0,0.0
p7505,float64,32177,27289,84.8090250800261,2,1.7128879768404852,0.45242260111801375,1.0,1.0,2.0,2.0,2.0,2.0
p7510s1,float64,32177,7835,24.34969077291233,3,1.8414805360561584,0.4365715211791074,1.0,2.0,2.0,2.0,9.0,2.0
p7510s1a1,float64,32177,27289,84.8090250800261,147,140572.2818718165,1617781.0617032703,0.0,0.0,0.0,0.0,120000000.0,0.0
p7510s2,float64,32177,7835,24.34969077291233,3,1.983535417996171,0.19401172652258672,1.0,2.0,2.0,2.0,9.0,2.0
p7510s2a1,float64,32177,27289,84.8090250800261,49,28099.234123639562,1049441.1180894927,0.0,0.0,0.0,0.0,96000000.0,0.0
p7510s3,float64,32177,7835,24.34969077291233,3,1.9342693044033183,0.27516298040620146,1.0,2.0,2.0,2.0,9.0,2.0
p7510s3a1,float64,32177,27289,84.8090250800261,113,30635.665396313532,392735.5861444609,0.0,0.0,0.0,0.0,30000000.0,0.0
p7510s5,float64,32177,7835,24.34969077291233,3,2.040076579451181,0.775668401930835,1.0,2.0,2.0,2.0,9.0,2.0
p7510s5a1,float64,32177,27289,84.8090250800261,64,76521.54758327531,3532429.7570777787,0.0,0.0,0.0,0.0,400000000.0,0.0
p7510s6,float64,32177,7835,24.34969077291233,3,1.5056796426292278,1.055910656139121,1.0,1.0,1.0,2.0,9.0,1.0
p7510s6a1,float64,32177,27289,84.8090250800261,303,59417.68800615633,696366.8014176367,0.0,0.0,0.0,0.0,75000000.0,0.0
p7510s7,float64,32177,7835,24.34969077291233,3,1.7619655392469686,0.6176976500395526,1.0,1.0,2.0,2.0,9.0,2.0
