variable,media,desv_est,minimo,p25,mediana,p75,maximo,moda
p7500s3a1,5548.334200593646,103469.53377733086,0.0,0.0,0.0,0.0,7200000.0,0.0
p7505,1.7128879768404852,0.45242260111801375,1.0,1.0,2.0,2.0,2.0,2.0
p7510s1,1.8414805360561584,0.4365715211791074,1.0,2.0,2.0,2.0,9.0,2.0
p7510s1a1,140572.2818718165,1617781.0617032703,0.0,0.0,0.0,0.0,120000000.0,0.0
p7510s2,1.983535417996171,0.19401172652258672,1.0,2.0,2.0,2.0,9.0,2.0
p7510s2a1,28099.234123639562,1049441.1180894927,0.0,0.0,0.0,0.0,96000000.0,0.0
p7510s3,1.9342693044033183,0.27516298040620146,1.0,2.0,2.0,2.0,9.0,2.0
p7510s3a1,30635.665396313532,392735.5861444609,0.0,0.0,0.0,0.0,30000000.0,0.0
p7510s5,2.040076579451181,0.775668401930835,1.0,2.0,2.0,2.0,9.0,2.0
p7510s5a1,76521.54758327531,3532429.7570777787,0.0,0.0,0.0,0.0,400000000.0,0.0
p7510s6,1.5056796426292278,1.055910656139121,1.0,1.0,1.0,2.0,9.0,1.0
p7510s6a1,59417.68800615633,696366.8014176367,0.0,0.0,0.0,0.0,75000000.0,0.0
p7510s7,1.7619655392469686,0.6176976500395526,1.0,1.0,2.0,2.0,9.0,2.0
p7510s7a1,185149.32643189564,3001939.338735303,0.0,0.0,0.0,0.0,220000000.0,0.0
pet,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ina,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
impa,1442437.6974710545,2231055.7136312854,0.0,600000.0,934556.5,1496544.33333333,50000000.0,0.0
isa,19070.224744744744,218026.7839616195,0.0,0.0,0.0,0.0,10000000.0,0.0
ie,31739.48268724125,142281.2710516424,0.0,0.0,0.0,0.0,6300000.0,0.0
imdi,769656.4211764706,1253684.2295776915,0.0,200000.0,550000.0,850000.0,14000000.0,0.0
iof1,6376.792578206115,294369.14648886997,0.0,0.0,0.0,0.0,33333333.3333333,0.0
iof2,100949.83187364873,597535.3544124047,0.0,0.0,0.0,0.0,24000000.0,0.0
iof3h,19599.16359461077,191226.19657641975,0.0,0.0,0.0,0.0,10000000.0,0.0
iof3i,2089.2978520038605,18117.69408538649,0.0,0.0,0.0,0.0,600000.0,0.0
iof6,63533.01671002968,405389.8198296994,0.0,0.0,0.0,0.0,20000000.0,0.0
cclasnr2,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
cclasnr3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
cclasnr4,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
cclasnr5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
cclasnr6,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
cclasnr7,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
cclasnr8,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
cclasnr11,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
impaes,1757617.2049898854,2527680.864512951,15000.0,700000.0,1000000.0,2000000.0,50000000.0,800000.0
isaes,738106.0606060605,1294730.4457066061,6000.0,100000.0,250000.0,837500.0,8000000.0,300000.0
iees,254023.91304347827,296760.63082542655,20000.0,120000.0,187000.0,300000.0,3000000.0,200000.0
imdies,781186.5833333334,570730.4133378748,30000.0,382500.0,800000.0,1000000.0,2000000.0,1000000.0
iof1es,523111.1929133858,1316055.9297582305,83.0,25000.0,97916.5,400000.0,8333333.0,83333.0
iof2es,2185808.229965157,1922583.5181083346,706000.0,900000.0,1548010.0,2620000.0,13200000.0,781242.0
iof3hes,434357.38036809815,682794.2566866399,8333.0,100000.0,295833.5,500000.0,9600000.0,300000.0
iof3ies,106916.65625,120033.83978523599,12500.0,48750.0,75000.0,92250.0,516667.0,75000.0
iof6es,895416.2011173185,1108500.579644922,50000.0,330000.0,500000.0,1000000.0,8000000.0,400000.0
ingtotob,1095928.6976651154,2177124.7636685553,0.0,0.0,742000.0,1209877.66666667,85833333.3333333,0.0
ingtotes,1424997.4537313434,2363579.1801022845,83.0,300000.0,800000.0,1500000.0,50000000.0,1000000.0
ingtot,1235874.946190162,2300871.3377039167,0.0,0.0,813793.75,1350000.0,85833333.3333333,0.0
